iter	Passed	Remaining
500	1999	1991
501	2002	1986
502	2006	1982
503	2009	1977
504	2013	1973
505	2017	1969
506	2020	1964
507	2024	1960
508	2028	1956
509	2031	1952
510	2035	1948
511	2039	1944
512	2042	1939
513	2046	1934
514	2049	1930
515	2057	1930
516	2061	1925
517	2065	1921
518	2070	1918
519	2073	1914
520	2077	1909
521	2080	1905
522	2084	1900
523	2087	1896
524	2091	1892
525	2095	1888
526	2098	1883
527	2101	1878
528	2105	1874
529	2109	1870
530	2113	1866
531	2118	1863
532	2121	1858
533	2125	1854
534	2128	1849
535	2132	1845
536	2136	1842
537	2140	1837
538	2143	1833
539	2147	1829
540	2151	1825
541	2154	1820
542	2158	1816
543	2162	1812
544	2166	1808
545	2172	1806
546	2177	1803
547	2181	1799
548	2188	1798
549	2196	1797
550	2201	1794
551	2206	1790
552	2210	1786
553	2216	1784
554	2223	1783
555	2230	1780
556	2235	1778
557	2240	1774
558	2244	1770
559	2250	1768
560	2255	1764
561	2258	1760
562	2263	1756
563	2268	1753
564	2273	1750
565	2279	1748
566	2284	1744
567	2288	1740
568	2293	1737
569	2298	1734
570	2304	1731
571	2309	1728
572	2314	1724
573	2318	1720
574	2322	1716
575	2326	1712
576	2330	1708
577	2335	1704
578	2340	1701
579	2344	1697
580	2348	1693
581	2354	1691
582	2359	1687
583	2363	1683
584	2366	1679
585	2371	1675
586	2374	1670
587	2378	1666
588	2382	1662
589	2385	1657
590	2389	1653
591	2392	1649
592	2396	1644
593	2399	1639
594	2402	1635
595	2406	1631
596	2409	1626
597	2413	1622
598	2417	1618
599	2420	1613
600	2424	1609
601	2428	1605
602	2431	1600
603	2435	1596
604	2438	1592
605	2442	1587
606	2446	1583
607	2450	1579
608	2453	1575
609	2458	1571
610	2461	1567
611	2465	1563
612	2469	1559
613	2473	1555
614	2477	1551
615	2481	1546
616	2485	1542
617	2488	1538
618	2491	1533
619	2495	1529
620	2498	1525
621	2502	1520
622	2505	1516
623	2508	1511
624	2512	1507
625	2515	1502
626	2518	1498
627	2522	1493
628	2525	1489
629	2528	1485
630	2532	1480
631	2535	1476
632	2538	1471
633	2543	1468
634	2546	1463
635	2550	1459
636	2553	1455
637	2559	1452
638	2562	1447
639	2565	1443
640	2569	1438
641	2573	1435
642	2577	1430
643	2581	1426
644	2584	1422
645	2589	1418
646	2592	1414
647	2596	1410
648	2600	1406
649	2605	1402
650	2608	1398
651	2612	1394
652	2617	1391
653	2621	1386
654	2625	1382
655	2629	1378
656	2633	1374
657	2637	1370
658	2640	1366
659	2644	1362
660	2647	1357
661	2651	1353
662	2655	1349
663	2658	1345
664	2662	1341
665	2665	1336
666	2670	1333
667	2674	1329
668	2677	1324
669	2681	1320
670	2685	1316
671	2693	1314
672	2698	1311
673	2702	1307
674	2706	1303
675	2710	1298
676	2714	1295
677	2718	1291
678	2722	1286
679	2725	1282
680	2729	1278
681	2733	1274
682	2738	1270
683	2741	1266
684	2746	1262
685	2750	1258
686	2753	1254
687	2757	1250
688	2760	1246
689	2764	1242
690	2768	1238
691	2771	1233
692	2775	1229
693	2778	1225
694	2782	1221
695	2786	1216
696	2789	1212
697	2793	1208
698	2797	1204
699	2800	1200
700	2803	1195
701	2807	1191
702	2811	1187
703	2815	1183
704	2818	1179
705	2822	1175
706	2826	1171
707	2830	1167
708	2833	1163
709	2837	1158
710	2841	1154
711	2845	1150
712	2848	1146
713	2851	1142
714	2855	1138
715	2859	1134
716	2862	1129
717	2866	1125
718	2870	1121
719	2875	1118
720	2878	1113
721	2882	1109
722	2886	1106
723	2890	1101
724	2893	1097
725	2897	1093
726	2901	1089
727	2905	1085
728	2908	1081
729	2912	1077
730	2916	1073
731	2920	1069
732	2923	1065
733	2927	1060
734	2931	1056
735	2935	1052
736	2939	1049
737	2943	1044
738	2946	1040
739	2951	1036
740	2953	1032
741	2957	1028
742	2960	1024
743	2964	1020
744	2968	1015
745	2971	1011
746	2976	1008
747	2981	1004
748	2984	1000
749	2988	996
750	2992	992
751	2996	988
752	2999	984
753	3003	979
754	3006	975
755	3010	971
756	3013	967
757	3018	963
758	3022	959
759	3026	955
760	3030	951
761	3034	947
762	3038	943
763	3043	940
764	3047	936
765	3050	931
766	3054	928
767	3059	924
768	3064	920
769	3067	916
770	3071	912
771	3075	908
772	3078	903
773	3081	899
774	3084	895
775	3090	891
776	3093	887
777	3097	883
778	3101	879
779	3105	875
780	3108	871
781	3111	867
782	3114	863
783	3118	859
784	3122	855
785	3125	851
786	3128	846
787	3135	843
788	3138	839
789	3141	835
790	3145	830
791	3148	826
792	3152	822
793	3155	818
794	3158	814
795	3161	810
796	3165	806
797	3169	802
798	3173	798
799	3176	794
800	3179	790
801	3183	785
802	3186	781
803	3189	777
804	3192	773
805	3196	769
806	3199	765
807	3203	761
808	3208	757
809	3212	753
810	3216	749
811	3219	745
812	3222	741
813	3226	737
814	3230	733
815	3233	729
816	3236	724
817	3240	720
818	3243	716
819	3247	712
820	3251	708
821	3254	704
822	3258	700
823	3262	696
824	3265	692
825	3269	688
826	3273	684
827	3275	680
828	3279	676
829	3281	672
830	3285	668
831	3288	664
832	3292	660
833	3295	655
834	3299	652
835	3304	648
836	3307	644
837	3312	640
838	3317	636
839	3322	632
840	3326	628
841	3329	624
842	3333	620
843	3337	616
844	3340	612
845	3344	608
846	3347	604
847	3351	600
848	3356	596
849	3359	592
850	3363	588
851	3366	584
852	3370	580
853	3374	576
854	3377	572
855	3381	568
856	3385	564
857	3388	560
858	3392	556
859	3396	552
860	3399	548
861	3402	544
862	3406	540
863	3410	536
864	3413	532
865	3417	528
866	3421	524
867	3425	520
868	3429	516
869	3432	512
870	3436	509
871	3441	505
872	3445	501
873	3448	497
874	3452	493
875	3456	489
876	3459	485
877	3462	481
878	3466	477
879	3470	473
880	3473	469
881	3477	465
882	3480	461
883	3484	457
884	3488	453
885	3491	449
886	3494	445
887	3498	441
888	3502	437
889	3505	433
890	3508	429
891	3512	425
892	3515	421
893	3518	417
894	3521	413
895	3524	409
896	3528	405
897	3531	401
898	3535	397
899	3538	393
900	3541	389
901	3545	385
902	3548	381
903	3552	377
904	3555	373
905	3559	369
906	3563	365
907	3566	361
908	3570	357
909	3573	353
910	3577	349
911	3581	345
912	3584	341
913	3588	337
914	3592	333
915	3596	329
916	3599	325
917	3602	321
918	3605	317
919	3609	313
920	3612	309
921	3615	305
922	3619	301
923	3623	298
924	3626	294
925	3630	290
926	3633	286
927	3637	282
928	3641	278
929	3645	274
930	3649	270
931	3652	266
932	3655	262
933	3659	258
934	3664	254
935	3668	250
936	3672	246
937	3676	243
938	3679	239
939	3684	235
940	3688	231
941	3691	227
942	3695	223
943	3698	219
944	3702	215
945	3706	211
946	3710	207
947	3714	203
948	3717	199
949	3721	195
950	3724	191
951	3727	187
952	3731	184
953	3735	180
954	3739	176
955	3742	172
956	3747	168
957	3751	164
958	3754	160
959	3758	156
960	3763	152
961	3766	148
962	3770	144
963	3773	140
964	3779	137
965	3783	133
966	3786	129
967	3790	125
968	3794	121
969	3798	117
970	3802	113
971	3805	109
972	3810	105
973	3815	101
974	3819	97
975	3824	94
976	3828	90
977	3831	86
978	3834	82
979	3838	78
980	3843	74
981	3847	70
982	3851	66
983	3855	62
984	3858	58
985	3862	54
986	3866	50
987	3870	47
988	3874	43
989	3878	39
990	3882	35
991	3886	31
992	3889	27
993	3893	23
994	3897	19
995	3901	15
996	3904	11
997	3907	7
998	3911	3
999	3914	0
