iter	RMSE
408	0.334676954
409	0.3335415
410	0.3324471886
411	0.3316655164
412	0.3315599474
413	0.3313484417
414	0.330870918
415	0.3296923448
416	0.3285089829
417	0.3274483243
418	0.3260243004
419	0.3259418233
420	0.3247321414
421	0.3235245774
422	0.3223869307
423	0.3223024578
424	0.3219858859
425	0.3205670186
426	0.3204978259
427	0.3202160373
428	0.3187818187
429	0.3172362681
430	0.3159895269
431	0.3146525134
432	0.3136688991
433	0.313590005
434	0.3121719266
435	0.3108473455
436	0.3095484146
437	0.3094669939
438	0.308538199
439	0.3084647093
440	0.3083968384
441	0.3072284157
442	0.3063951554
443	0.3049440516
444	0.3042321086
445	0.3038602881
446	0.3023351771
447	0.30129565
448	0.3009697985
449	0.3000986486
450	0.2992634845
451	0.2983660098
452	0.2969022387
453	0.2954541215
454	0.2947255417
455	0.2944859378
456	0.2943105607
457	0.2942729327
458	0.2934723087
459	0.2922702256
460	0.2922139171
461	0.29219145
462	0.2908244686
463	0.2904382919
464	0.2892191422
465	0.2885023357
466	0.2875633739
467	0.2863368133
468	0.28627936
469	0.2854150617
470	0.2845400986
471	0.2834989326
472	0.2822256533
473	0.2812550265
474	0.2807701282
475	0.2797282458
476	0.2784470177
477	0.2772750527
478	0.2763611629
479	0.2752209431
480	0.2742306611
481	0.2734711091
482	0.2726550782
483	0.2719717032
484	0.2711702137
485	0.2702795805
486	0.2691607675
487	0.2679432681
488	0.267913068
489	0.2670864605
490	0.2657432913
491	0.264945422
492	0.2644146632
493	0.2636698793
494	0.2624299355
495	0.2612294537
496	0.2603720264
497	0.2592717837
498	0.2586599917
499	0.257805967
500	0.2566930477
501	0.2562749084
502	0.2553044544
503	0.2544936012
504	0.2536528814
505	0.252499517
506	0.2517812536
507	0.2505004096
508	0.2495171734
509	0.2487770331
510	0.247953707
511	0.2468775508
512	0.2460831569
513	0.245600913
514	0.2442282973
515	0.2435637906
516	0.2427542737
517	0.2417681042
518	0.2408186306
519	0.240055771
520	0.2394534554
521	0.2388553031
522	0.2382914636
523	0.2374049228
524	0.236734061
525	0.2360557323
526	0.2353504558
527	0.2353254512
528	0.2345308953
529	0.2338811401
530	0.2330914321
531	0.2321011264
532	0.2310851085
533	0.2304764867
534	0.2298796054
535	0.2293708632
536	0.2286630783
537	0.2281858986
538	0.2281641763
539	0.2275270108
540	0.2270429433
541	0.2264149614
542	0.225570388
543	0.2247300284
544	0.2238378889
545	0.2230993853
546	0.2226372813
547	0.2220204024
548	0.2214326619
549	0.2206540646
550	0.2202156419
551	0.2193129562
552	0.2183735211
553	0.2175318557
554	0.2169329734
555	0.2163785586
556	0.2158694893
557	0.2153953524
558	0.215373558
559	0.2146211477
560	0.2138134938
561	0.2132439262
562	0.2127081359
563	0.2123136493
564	0.211727488
565	0.2109347724
566	0.210447234
567	0.2096663052
568	0.2086990166
569	0.2076172604
570	0.2068048649
571	0.2060311685
572	0.2053973668
573	0.2048144915
574	0.2047767407
575	0.2044656022
576	0.2041344487
577	0.2033228596
578	0.2024145282
579	0.2020248049
580	0.2013230275
581	0.2007821922
582	0.2001080832
583	0.1997364175
584	0.1991267181
585	0.1982657946
586	0.1978858815
587	0.1973520139
588	0.1967773016
589	0.1961018588
590	0.1954701163
591	0.1949695788
592	0.1947726035
593	0.1939756487
594	0.1934082935
595	0.1929733754
596	0.1924657473
597	0.1919128995
598	0.1912112055
599	0.1906144174
600	0.1900630053
601	0.1900295726
602	0.1894327711
603	0.1894120277
604	0.1889469728
605	0.1888687391
606	0.1883071332
607	0.1878360353
608	0.1878115069
609	0.1876869392
610	0.1869319413
611	0.1865608991
612	0.1858856658
613	0.1852059237
614	0.1846813916
615	0.1842129035
616	0.184051618
617	0.1831554779
618	0.1826744192
619	0.1819507618
620	0.1814870042
621	0.1809392364
622	0.1802367507
623	0.1799584555
624	0.1791230408
625	0.1786103885
626	0.1779407766
627	0.1775004514
628	0.1768527745
629	0.1762115421
630	0.1760724035
631	0.1756865674
632	0.1752087438
633	0.1745086093
634	0.1740659282
635	0.1733684679
636	0.1729636182
637	0.1724034446
638	0.1719591137
639	0.1715754426
640	0.1709007485
641	0.1704363443
642	0.1698317461
643	0.1694330581
644	0.168822693
645	0.168362796
646	0.167661467
647	0.1672123621
648	0.1667255821
649	0.166259831
650	0.1656654591
651	0.164956829
652	0.1645413616
653	0.1640590409
654	0.1635109708
655	0.1630457268
656	0.1625306077
657	0.1617694634
658	0.1617445478
659	0.1610460838
660	0.1604640176
661	0.1600223353
662	0.1594335476
663	0.159047206
664	0.1586278785
665	0.1582580874
666	0.1579527693
667	0.1575553389
668	0.1572378709
669	0.1567051374
670	0.156132753
671	0.1557236276
672	0.15522469
673	0.1545916045
674	0.1542159166
675	0.1538395886
676	0.1533071792
677	0.1528441438
678	0.1524978788
679	0.1519311648
680	0.1512723823
681	0.1507048997
682	0.1503440556
683	0.1501480322
684	0.149931868
685	0.149630505
686	0.1491292075
687	0.1486233645
688	0.1480954587
689	0.1476150065
690	0.147436798
691	0.1470307898
692	0.146547812
693	0.1462187045
694	0.1454995722
695	0.1451077463
696	0.1445038282
697	0.1439992567
698	0.1436047825
699	0.1431272662
700	0.1427997805
701	0.1423309128
702	0.1419952885
703	0.1414267891
704	0.141247621
705	0.1410711413
706	0.14096922
707	0.1406947583
708	0.1404173442
709	0.1402381191
710	0.1396595457
711	0.1391042036
712	0.1388729734
713	0.1384564183
714	0.1383062224
715	0.1380461109
716	0.1373538346
717	0.1368838247
718	0.1364913398
719	0.1363167672
720	0.136165979
721	0.1357845014
722	0.1356584759
723	0.1352488532
724	0.1348851378
725	0.1346806575
726	0.134172493
727	0.1339551817
728	0.1334404274
729	0.1331783461
730	0.1327595025
731	0.1323369367
732	0.1319977112
733	0.1318051803
734	0.1314936239
735	0.1310324957
736	0.1304765555
737	0.1302937011
738	0.1300371522
739	0.1296807493
740	0.1293250344
741	0.1290195265
742	0.1286885771
743	0.1284968018
744	0.1280733235
745	0.1274032203
746	0.1270575567
747	0.1267151416
748	0.1263504214
749	0.1263252378
750	0.1260539031
751	0.1259440584
752	0.1256115848
753	0.1251364648
754	0.1247710168
755	0.1243443863
756	0.1242186132
757	0.1240438694
758	0.1235669583
759	0.123243422
760	0.1227631744
761	0.1225124253
762	0.1220368158
763	0.121573441
764	0.1214258137
765	0.1209933028
766	0.1207207728
767	0.1203331393
768	0.1200777511
769	0.11973961
770	0.1194063651
771	0.1189517047
772	0.1186919061
773	0.1184175487
774	0.1180642546
775	0.1176733378
776	0.1172107391
777	0.1168976973
778	0.1167103941
779	0.1164000731
780	0.1160701163
781	0.115920199
782	0.1155012265
783	0.1152993666
784	0.1149777999
785	0.1148029298
786	0.114776992
787	0.1144947171
788	0.1141299484
789	0.1138638724
790	0.1136265009
791	0.1131871947
792	0.1129214152
793	0.1126689826
794	0.112458213
795	0.1122321779
796	0.112066631
797	0.1116800973
798	0.1113411571
799	0.1111374505
800	0.1107717964
801	0.110348289
802	0.1098446795
803	0.1097458697
804	0.1092614077
805	0.1088560034
806	0.1085985754
807	0.1084658283
808	0.1081008431
809	0.1077111203
810	0.1074594496
811	0.1071833283
812	0.1069148104
813	0.1066699247
814	0.1062831962
815	0.106056682
816	0.1057366277
817	0.1053886571
818	0.1050974208
819	0.1048330401
820	0.1047815963
821	0.1045887589
822	0.1043282145
823	0.1040093392
824	0.1038071376
825	0.1034950658
826	0.1033087356
827	0.1031686242
828	0.1028477744
829	0.1025286504
830	0.1021702951
831	0.1019075727
832	0.1017494158
833	0.1015447184
834	0.1013571872
835	0.1011614219
836	0.1010789527
837	0.1007678468
838	0.1005450172
839	0.1002590713
840	0.1001092703
841	0.09989145668
842	0.09966093519
843	0.09945987671
844	0.09931374813
845	0.09913561033
846	0.09893785109
847	0.09888854022
848	0.09844377236
849	0.09823778451
850	0.09797807352
851	0.09787360808
852	0.09761026777
853	0.09742412275
854	0.09708844781
855	0.09684103
856	0.09652045922
857	0.09626784558
858	0.09613392716
859	0.09591890299
860	0.09570339267
861	0.09556134195
862	0.09521362596
863	0.09509176882
864	0.09490448746
865	0.09464182405
866	0.0944753454
867	0.09431725129
868	0.09416786064
869	0.09414357242
870	0.09392171934
871	0.09348989898
872	0.09331406806
873	0.09300725061
874	0.09271115059
875	0.09259420514
876	0.09249727841
877	0.09230828341
878	0.09226556079
879	0.09207148486
880	0.09182922855
881	0.09171087567
882	0.09140164806
883	0.09099905735
884	0.09076368187
885	0.09042867486
886	0.09026249938
887	0.09012641056
888	0.08993596854
889	0.08983059609
890	0.08944645754
891	0.08932244305
892	0.08916622501
893	0.08900982084
894	0.08856305225
895	0.08832331202
896	0.08812599856
897	0.08806973396
898	0.08791991528
899	0.08765142793
900	0.08753857649
901	0.08735108756
902	0.08721106099
903	0.08700604651
904	0.08685822011
905	0.08671246983
906	0.08662795034
907	0.08644080755
908	0.08627988018
909	0.08612820954
910	0.08605041034
911	0.08590261394
912	0.08577837042
913	0.08568001912
914	0.0856193899
915	0.08541523309
916	0.08516431066
917	0.08489738979
918	0.08462576764
919	0.08450087631
920	0.0841327242
921	0.0839741825
922	0.08369770039
923	0.08351591765
924	0.08334333558
925	0.08324227055
926	0.082933604
927	0.0828312763
928	0.08253595797
929	0.08237450679
930	0.08212077499
931	0.08177523588
932	0.08166839229
933	0.08148466351
934	0.08118381844
935	0.08092224664
936	0.0807336983
937	0.08051056147
938	0.08030426431
939	0.08006352397
940	0.07991094384
941	0.07970919231
942	0.07962063977
943	0.0793804373
944	0.0792378639
945	0.07916059202
946	0.07911776233
947	0.07883393969
948	0.07862325538
949	0.07833790736
950	0.07820145597
951	0.07804102562
952	0.07787446034
953	0.0776671094
954	0.07737453773
955	0.07720185586
956	0.07693787975
957	0.07672525972
958	0.07659764327
959	0.07637037328
960	0.0761166169
961	0.07597470091
962	0.07575801506
963	0.07553097256
964	0.07522110871
965	0.07501661331
966	0.07482301259
967	0.07480229495
968	0.07454788989
969	0.07443038255
970	0.07421253671
971	0.07403550959
972	0.07379116738
973	0.07364950498
974	0.07336924633
975	0.07319595629
976	0.07299956417
977	0.07280021204
978	0.07267152504
979	0.07249861122
980	0.07229257657
981	0.07198920661
982	0.0718857539
983	0.07164458568
984	0.07152477107
985	0.07131751818
986	0.07115509428
987	0.07090624331
988	0.07074861579
989	0.07056432807
990	0.07035160269
991	0.07026593683
992	0.07014982418
993	0.06993223576
994	0.06977643468
995	0.06964570425
996	0.06955212262
997	0.06939215522
998	0.06926296269
999	0.06904183315
